Job Title,Job Link,Company,Location,Education,Experience,Deadline,Job Description
BSc. Civil Engineer,https://jobs.bdjobs.com/jobdetails.asp?id=1358402&fcatId=5&ln=1,M/S A & J INTERNATIONAL,Chattogram,Bachelor of Science (BSc) in Civil EngineeringBSc. in Civil Engineering.,At least 1 year(s),17-May-25,"CAD Designing
Civil Engineering
Design and Drawing
Excellent communication skill
MS Word/ Excel/ PowerPoint/ OneNote
Reporting and Documentation
The ability to work under pressure
Working Drawing"
Electrical Engineer,https://jobs.bdjobs.com/jobdetails.asp?id=1358417&fcatId=5&ln=1,M/S A & J INTERNATIONAL,Chattogram,সpriority for better varsity,At least 1 year(s),17-May-25,"Electrical Engineering
Electrical Installation and Maintenance
Excellent communication skill
MS Word/ Excel/ PowerPoint/ OneNote
Reporting and Documentation
The ability to work under pressure
Working Drawing"
Junior Product Development Engineer,https://jobs.bdjobs.com/jobdetails.asp?id=1358170&fcatId=5&ln=1,Bio Enclave,Dhaka,Bachelor of Science (BSc) in Biomedical Science,1 to 3 year(s),25-Apr-25,"Electrical Engineering
Electrical Installation and Maintenance
Excellent communication skill
MS Word/ Excel/ PowerPoint/ OneNote
Reporting and Documentation
The ability to work under pressure
Working Drawing
"
Maintenance Engineer,https://jobs.bdjobs.com/jobdetails.asp?id=1358310&fcatId=5&ln=1,"Tecnotrade International Ltd. at Citizen Tower, 227/B, Tejgaon-Gulshan Link Road, Dhaka-1208",Dhaka,Candidate should be Minimum Diploma in Electrical/Mechanical/Power Engineering from any reputed...,At least 5 year(s),25-Apr-25,"5+ years of experience in electro-mechanical maintenance or a related field.

Ability to troubleshoot and resolve complex electrical & mechanical issues effectively.

Must know how to repair generators, sub-station, electrical circuits, etc.

Knowledge of electrical safety protocols and risk management to ensure a safe working environment.

Ability to manage projects, including scheduling, and coordinating with cross-functional teams. Develop and oversee the implementation of preventive maintenance schedules for all machinery, equipment, and facilities.

Supervising all electrical & mechanical installation work, schedule maintenance work to keep proper record.

Ensure timely and efficient repair of breakdowns and maintenance issues.

Diagnose mechanical, electrical malfunctions and perform necessary repairs or replacements.

Ensure that all equipment operates in accordance with company standards and industry regulations.

Ensure all maintenance activities comply with safety standards and regulations.

Work with vendors and suppliers to procure high-quality parts and materials at competitive prices.

Monitor equipment performance and recommend improvements or upgrades to enhance reliability and efficiency.

Manage the upkeep of the facility, including generator, VRF A/C, electrical, plumbing maintenance.

Responsible for analysis, sourcing, installation, and maintenance of all types of electrical equipment such as generators, air conditioning, lighting, power lines, IPS, etc.

Prepare Site Materials Estimation, Contractor Bill Checking & Requisition

Attending and/or leading project meetings.

Strong verbal and written communication skills to convey technical information clearly.

Competency in collaborating with others, including engineers, technicians, and management, to achieve project goals and solve problems.

Computer knowledge must MS Excel, AutoCAD, Drawing Study Quality."
Amusement Park Consultant,https://jobs.bdjobs.com/jobdetails.asp?id=1358237&fcatId=5&ln=1,Mamun Group.,Faridpur,Diploma in ArchitectureDiploma in Civil,At least 5 year(s),17-May-25,"A Park Consultant’s responsibilities encompass creating functional, aesthetically pleasing and safe park environments, including planning layouts, designing features, and overseeing construction. Conceptual Design: Developing initial ideas and plans for park layouts, considering factors like site characteristics, accessibility, and intended uses.
Detailed Design: Creating specific plans for landscaping, infrastructure (paths, seating), and recreational facilities (playgrounds, sports fields and etc.).
Presentation and Proposals: Preparing visual materials (drawings, renderings) to communicate design ideas to clients and stakeholders.
Budget Management: Estimating costs and ensuring projects stay within budget.
Construction Supervision: Inspecting construction work to ensure it adheres to design specifications and quality standards.
Collaboration: Working with engineers, contractors, and other professionals to implement designs.
Problem Solving: Addressing any issues that arise during construction and ensuring projects are completed on time and within budget.
Maintenance and Upkeep: Overseeing the ongoing maintenance of park features and facilities.
Safety and Compliance: Ensuring the park adheres to safety regulations and standards.
Continuous Improvement: Identifying opportunities to enhance the park's design and functionality over time.
"
Tr. Assistant Engineer (PMC),https://jobs.bdjobs.com/jobdetails.asp?id=1358173&fcatId=5&ln=1,Ismartu Technology BD Ltd.,Narayanganj,Bachelor of Science (BSc) in EEE,Na,30-Apr-25,"Electrical/ Electronics
Mobile Servicing"
Marketing Officer,https://jobs.bdjobs.com/jobdetails.asp?id=1358003&fcatId=5&ln=1,Freehold Construction & Development,Kakrail,Diploma in Civil in Civil EngineeringBachelor of Science (BSc) in Civil Engineering,2 to 4 year(s),16-May-25,"Good communication skills
Reporting skill"
Supervisor-Mechanical,https://jobs.bdjobs.com/jobdetails.asp?id=1358114&fcatId=5&ln=1,PHP Integrated Steel Mills Limited,Chhagalnaiya,Diploma in Engineering in Mechanical Engineering,20 to 25 year(s),02-May-25,"Manufacturing
Mechanical Engineering"
Construction Manager,https://jobs.bdjobs.com/jobdetails.asp?id=1357855&fcatId=5&ln=1,National Construction Company Ltd-,Anywhere in Bangladesh,Bachelor / Honors / Diploma – Civil Engineering,At least 5 year(s),16-May-25,"Project planning, BOQ, costing, estimating & bill checking, supervise & monitoring for providing feedback to senior management.
Review the BOQ and provide inputs on milestone schedule, methodology, quality and sequencing of activities for the entire project in MS Project based on Critical Path Method (CPM).
To place material requisition as per drawing & design and ensure quality based on specification as well as monitor timely delivery on site according to the master plan.
To ensure the implementation of different construction codes, quality control procedures, work place and safety measures as well as personnel management.
Supervise contractors work progress on site and monitor adequacy of resources and equipment for adherence to approved project plans to stay on time and within budget as per the master plan.      
Ensure timely issuance of relevant notices to the suppliers and sub-contractors for defaults on delays, quality of work and Health Safety Environment (HSE) violations and impose penalties as necessary.
Preparing monthly work program & achievement report and monitoring of daily progress of works. 
Minimize quantity variations (between drawings and actuals) during construction phase and obtain approval for variations ahead of time from senior management     
Check the bills of qualities submitted by the contractors and suppliers as well as adherence to meeting the master plan milestones to ensure the total construction within approved budget and time. 
Age at least 21 years
Good planning and organizing skills, effectively scheduling and coordinating various project activities for preparation of Master work program based on Critical Path Method (CPM).·        

Proficiency in MS Project is a must.·        

Strong knowledge of foundation, piling, concrete, plumbing and electrical works. 

Strong knowledge on double / triple shuttering methodology and steel shuttering and re-sizing works"
"Officer- Quality Control, Meghna Foil Packaging Ltd.",https://jobs.bdjobs.com/jobdetails.asp?id=1357952&fcatId=5&ln=1,Meghna Group of Industries.,Narayanganj,Bachelor of Science (BSc) in ChemistryBachelor of Science (BSc) in PhysicsBachelor of Science...,Na,30-Apr-25,"Meghna Group of Industries (MGI) is one of the largest conglomerates of Bangladesh. Meghna Foil Packaging Limited (MFPL) is one of the sister concern of MGI which has commercially started its journey on 2019 with an ambitious plan to reach at peak in packaging industry.

To ensure product quality as per standard, MGI is looking for enthusiastic & energetic individuals for its Quality Control Department.

Check the quality of raw materials e.g. Ink, Film, paper, Adhesive etc. as per standard and receive from store department.

Ensure the length, width, opacity & GSM of shed card during production as per customers’ requirements.

Match color, Ink quality & printing roll quality during printing stage as per pre-determined design from customer’s end.

Perform leakage test & busting test to ensure the bonding of packaging paper after lamination. 

Preserve the laminated sheets in oven machine and in curing room for certain period of time and send the sheets for cutting as per the size given on design. 

Prepare quality report and provide certificate each batch of production after inspection process is done.

Investigate complaints & analysis the reasons of failure in case of returned products from customer's end.

Coordinate with Sales and Production department to resolve customer complaints and maintain product quality as per design."
"Asst. Engineer/ Engineer - Electrical, Meghna Foil Packaging Ltd",https://jobs.bdjobs.com/jobdetails.asp?id=1357949&fcatId=5&ln=1,Meghna Group of Industries.,Narayanganj,Bachelor of Science (BSc) in Electrical & Electronic Engineering,At least 2 year(s),30-Apr-25,Flexible Packaging
Engineer / Senior Engineer,https://jobs.bdjobs.com/jobdetails.asp?id=1357907&fcatId=5&ln=1,BENLI ELECTRONIC ENTERPRISE CO. LTD.,Gazipur,Diploma in EngineeringBachelor of Science (BSc),2 to 6 year(s),11-May-25,"Age 28 to 44 years
Excellent communication skills·        
Ability to work well with management and staff at all levels·        
Computer literacy is a must.·        
Ability to multitask, prioritize, and manage time efficiently·        
Goal-oriented, organized team player To Control and look after overall Production, Operation of the assembly line.
Supervising and Monitoring assembly line.
Cost cutting, Define, develop and monitor the implementation of production plans.
Training for production staff and operator on an ongoing basis.
Maintain appropriate stock of Raw Materials, Work In Progress and Finished Goods
Must have basic idea on process and recipe in case of formulating and introducing new products.
Assess actual requirement of the manpower and source the right people for right place.
Very good knowledge about 6S
Any other task given by the management"
